PRODUCT_NO,KPRM,CUST_LOC_NO,LTA,RI_TYPE,RI_NONRI,RI_TIME,MIN,SOH,MAX_QTY,TAR_SSL,SUP_SSL,QTY_PICK,QTY_SNR,UID_STATUS,ORDNO,ITMNO,REQ_DATE,PERID0,PERID1 ,PERID2 ,PERID3 ,PERID4 ,PERID5 ,PERID6 ,PERID7 ,PERID8 ,PERID9 ,PERID10 ,PERID11 ,PERID12 ,PERID13 ,PERID14 ,PERID15 ,PERID16 ,PERID17 ,PERID18 ,PERID19 ,PERID20 ,PERID21 ,PERID22 ,PERID23 ,PERID24 ,PERID25 ,PERID26 ,PERID27 ,PERID28 ,PERID29 ,PERID30 ,PERID31 ,PERID32 ,PERID33 ,PERID34 ,PERID35 ,PERID36 
Product,Key Figure,Customer Loc.,,Replenishment Indicator,,,Minimum Safety Stock,,,,,Shippable Qty,Quantity,Medium Field Label,Order Document Number,Item Number,RequDlvryD,03/16/2018 - 12/08/2020,12/09/2020 - 12/13/2020,12/14/2020 - 12/20/2020,12/21/2020 - 12/27/2020,12/28/2020 - 01/03/2021,01/04/2021 - 01/10/2021,01/11/2021 - 01/17/2021,01/18/2021 - 01/24/2021,01/25/2021 - 01/31/2021,02/01/2021 - 02/07/2021,02/08/2021 - 02/14/2021,02/15/2021 - 02/21/2021,02/22/2021 - 02/28/2021,03/01/2021 - 03/07/2021,03/08/2021 - 03/14/2021,03/15/2021 - 03/21/2021,03/22/2021 - 03/28/2021,03/29/2021 - 04/04/2021,04/05/2021 - 04/11/2021,04/12/2021 - 04/18/2021,04/19/2021 - 04/25/2021,04/26/2021 - 05/02/2021,05/03/2021 - 05/09/2021,05/10/2021 - 05/16/2021,05/17/2021 - 05/23/2021,05/24/2021 - 05/30/2021,5/31/2021,06/01/2021 - 06/30/2021,07/01/2021 - 07/31/2021,08/01/2021 - 08/31/2021,09/01/2021 - 09/30/2021,10/01/2021 - 10/31/2021,11/01/2021 - 11/30/2021,12/01/2021 - 12/31/2021,01/01/2022 - 12/31/2022,01/01/2023 - 12/31/2023,01/01/2024 - 12/31/2024
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20220923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20221014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20221021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20221028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20221109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20221207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20230908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20231010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,0,0,0,0,0,0,0,,H117214A,00030/1102,20231107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
1001773-2,Planned,2701,N,NA,NA,NA,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,8,6,4,7,10,110,96,
1001773-2,Firm,2710,N,NA,NA,NA,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001773-2,Planned,2710,N,NA,NA,NA,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001852-1,Firm,2701,N,NA,NA,NA,0,0,0,0,0,43,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210311,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210325,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210409,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210423,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210507,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210527,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210611,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,H117214D,00220/610,20210813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
